channels,sample_width,frame_rate,frame_width,frame_count,dBFS,label
2,2,44100,4,92160.0,-14.11915116044752,0
2,2,44100,4,51840.0,-17.3359447965699,0
2,2,44100,4,51840.0,-12.383987449961595,0
2,2,44100,4,135936.0,-13.334135061280683,0
2,2,44100,4,59951.0,-14.698332192866271,0
2,2,44100,4,46127.0,-15.77608429437612,0
2,2,44100,4,56495.0,-16.529929446445998,0
2,2,44100,4,71424.0,-14.893430775811405,0
2,2,44100,4,93141.0,-11.69511094590365,0
2,2,44100,4,86400.0,-19.48490488552919,0
2,2,44100,4,74454.0,-19.899328044378517,0
2,2,44100,4,91008.0,-19.766716466398254,0
2,2,44100,4,129024.0,-17.31256943470305,0
2,2,44100,4,118656.0,-21.24875087676525,0
2,2,44100,4,76032.0,-14.072138575664809,0
2,2,44100,4,50805.0,-12.653955586932756,0
2,2,44100,4,338688.0,-19.71269476630175,0
2,2,44100,4,131375.0,-26.297460164097394,0
2,2,44100,4,127919.0,-30.88348172443225,0
2,2,44100,4,118703.0,-32.01156234839335,0
2,2,44100,4,97373.0,-19.81328971276991,0
2,2,44100,4,69621.0,-13.715205881214935,0
2,2,44100,4,115200.0,-13.79917810160574,0
2,2,44100,4,157824.0,-20.45937849661682,0
2,2,44100,4,96768.0,-15.774454518662912,0
2,2,44100,4,102528.0,-15.919058366982723,0
2,2,44100,4,906624.0,-11.00402367985194,0
2,2,44100,4,176400.0,-16.94687394053973,0
2,2,44100,4,114048.0,-16.780614064827155,0
2,2,44100,4,84096.0,-14.719955031113122,0
2,2,44100,4,133632.0,-17.43402499000384,0
2,2,44100,4,105984.0,-15.399695325779813,0
2,2,44100,4,73728.0,-18.10644643767445,0
2,2,44100,4,154368.0,-23.660229500882252,0
2,2,44100,4,80640.0,-16.837522770733326,0
2,2,44100,4,62208.0,-13.777137620513395,0
2,2,44100,4,122112.0,-13.861713650363367,0
2,2,44100,4,64512.0,-16.43445972072142,0
2,2,44100,4,78336.0,-16.003978121617372,0
2,2,44100,4,85248.0,-15.606606017556917,0
2,2,44100,4,324864.0,-15.938964921848871,0
2,2,44100,4,92160.0,-16.96367631154887,0
2,2,44100,4,116399.0,-17.269877308532873,0
2,2,44100,4,183168.0,-23.36630304099396,0
2,2,44100,4,76032.0,-14.072138575664809,0
2,2,44100,4,338688.0,-19.71269476630175,0
2,2,44100,4,131375.0,-26.297460164097394,0
2,2,44100,4,127919.0,-30.88348172443225,0
2,2,44100,4,118703.0,-32.01156234839335,0
2,2,44100,4,97373.0,-19.81328971276991,0
2,2,44100,4,115200.0,-13.79917810160574,0
