channels,sample_width,frame_rate,frame_width,frame_count,dBFS,label
2,2,44100,4,185519.0,-25.79247886995649,1
2,2,44100,4,48384.0,-16.186596505140287,1
2,2,44100,4,124416.0,-25.083741323344487,1
2,2,44100,4,130939.0,-20.1249482525723,1
2,2,44100,4,130939.0,-21.257937434615847,1
2,2,44100,4,130939.0,-23.41722384762008,1
2,2,44100,4,130939.0,-20.26592084176714,1
2,2,44100,4,130939.0,-22.7847616935409,1
2,2,44100,4,130939.0,-21.713953099146195,1
2,2,44100,4,130939.0,-20.22774104562052,1
2,2,44100,4,130939.0,-23.432952035961257,1
2,2,44100,4,130939.0,-21.175606110719208,1
2,2,44100,4,130939.0,-22.096827847827,1
2,2,44100,4,130939.0,-21.12718290718263,1
2,2,44100,4,104832.0,-22.229439425807264,1
2,2,44100,4,167747.0,-23.603853570503723,1
2,2,44100,4,366592.0,-17.647713245364372,1
2,2,44100,4,1239040.0,-36.277638998075815,1
2,2,44100,4,311296.0,-18.304792571007795,1
2,2,44100,4,51200.0,-27.117654834521954,1
2,2,44100,4,491520.0,-29.97668774805081,1
2,2,44100,4,208896.0,-25.208375432283326,1
2,2,44100,4,479232.0,-5.372136254167965,1
2,2,44100,4,1775616.0,-16.422160491910734,1
2,2,44100,4,272384.0,-15.725702905338956,1
2,2,44100,4,311296.0,-17.13160685515511,1
2,2,44100,4,870400.0,-20.076678287811603,1
2,2,44100,4,102400.0,-20.434262653657562,1
2,2,44100,4,331776.0,-2.8250335406127034,1
2,2,44100,4,231424.0,-18.926204189745167,1
2,2,44100,4,1984512.0,-31.399626996557963,1
2,2,44100,4,2828288.0,-22.11709831125804,1
2,2,44100,4,5863424.0,-30.88348172443225,1
2,2,44100,4,497664.0,-44.96556413113407,1
2,2,44100,4,2549760.0,-19.789971874234105,1
2,2,44100,4,354304.0,-20.20328521631171,1
2,2,44100,4,227328.0,-36.72044076695198,1
2,2,44100,4,71680.0,-12.322439701641276,1
2,2,44100,4,5300224.0,-13.985498890618324,1
2,2,44100,4,210944.0,-15.854675349424461,1
2,2,44100,4,280576.0,-9.881904437565899,1
2,2,44100,4,628736.0,-20.065987960753745,1
2,2,44100,4,237568.0,-15.867843272565075,1
2,2,44100,4,77824.0,-13.851259742511344,1
2,2,44100,4,292864.0,-43.22682991624633,1
2,2,44100,4,3186688.0,-27.135719082914566,1
2,2,44100,4,1763328.0,-27.374038426581556,1
2,2,44100,4,135168.0,-23.24221679296826,1
2,2,44100,4,126976.0,-24.59335322360646,1
2,2,44100,4,4036608.0,-10.35428316723639,1
2,2,44100,4,270336.0,-19.407807005314297,1
2,2,44100,4,1333248.0,-31.730844894315304,1
